medal_type,name,gender,country_code,nationality,discipline,birth_date,is_medallist
Silver ,LUCIANA,Female,BRA,Brazil,Football,1987-07-24,True
Gold ,KRISTIANSEN Veronica,Female,NOR,Norway,Handball,1990-07-10,True
Gold ,AARDAHL Maren,Female,NOR,Norway,Handball,1994-03-02,True
Gold ,SKOGRAND Stine,Female,NOR,Norway,Handball,1993-03-03,True
Gold ,MOERK Nora,Female,NOR,Norway,Handball,1991-04-05,True
Gold ,OFTEDAL Stine Bredal,Female,NOR,Norway,Handball,1991-09-25,True
Gold ,SOLBERG-OESTHASSEL Silje,Female,NOR,Norway,Handball,1990-06-16,True
Gold ,BRATTSET DALE Kari,Female,NOR,Norway,Handball,1991-02-15,True
Gold ,BREISTOEL Kristine,Female,NOR,Norway,Handball,1993-08-23,True
Gold ,INGSTAD Vilde,Female,NOR,Norway,Handball,1994-12-18,True
Gold ,LUNDE Katrine,Female,NOR,Norway,Handball,1980-03-30,True
Gold ,JACOBSEN Marit,Female,NOR,Norway,Handball,1994-02-25,True
Gold ,HERREM Camilla,Female,NOR,Norway,Handball,1986-10-08,True
Gold ,SOLBERG-ISAKSEN Sanna,Female,NOR,Norway,Handball,1990-06-16,True
Gold ,REISTAD Henny,Female,NOR,Norway,Handball,1999-02-09,True
Gold ,RUSHFELDT DEILA Thale,Female,NOR,Norway,Handball,2000-01-15,True
Silver ,GLAUSER Laura,Female,FRA,France,Handball,1993-08-20,True
Silver ,NOCANDY Meline,Female,FRA,France,Handball,1998-02-25,True
Silver ,TOUBLANC Alicia,Female,FRA,France,Handball,1996-05-03,True
Silver ,VALENTINI Chloe,Female,FRA,France,Handball,1995-04-19,True
Silver ,LASSOURCE Coralie,Female,FRA,France,Handball,1992-09-01,True
Silver ,ZAADI DEUNA Grace,Female,FRA,France,Handball,1993-07-07,True
Silver ,DARLEUX MINGAM Cleopatre,Female,FRA,France,Handball,1989-07-01,True
Silver ,FLIPPES Laura,Female,FRA,France,Handball,1994-12-13,True
Silver ,KANOR Orlane,Female,FRA,France,Handball,1997-06-16,True
Silver ,HORACEK Tamara,Female,FRA,France,Handball,1995-11-05,True
Silver ,FOPPA Pauletta,Female,FRA,France,Handball,2000-12-22,True
Silver ,NZE MINKO Estelle,Female,FRA,France,Handball,1991-08-11,True
Silver ,ONDONO Onacia,Female,FRA,France,Handball,1996-04-14,True
Silver ,GRANIER Lucie,Female,FRA,France,Handball,1999-06-11,True
Silver ,BOUKTIT Sarah,Female,FRA,France,Handball,2002-08-27,True
Silver ,GRANDVEAU Lena,Female,FRA,France,Handball,2003-01-21,True
Silver ,SAKO Hatadou,Female,FRA,France,Handball,1995-10-21,True
Bronze ,TOFT Sandra,Female,DEN,Denmark,Handball,1989-10-18,True
Bronze ,AABERG IVERSEN Sarah,Female,DEN,Denmark,Handball,1990-04-10,True
Bronze ,ELVER Helena,Female,DEN,Denmark,Handball,1998-03-01,True
Bronze ,HANSEN Anne Mette,Female,DEN,Denmark,Handball,1994-08-25,True
Bronze ,HEINDAHL Kathrine,Female,DEN,Denmark,Handball,1992-03-26,True
Bronze ,HAUGSTED Line,Female,DEN,Denmark,Handball,1994-11-11,True
Bronze ,REINHARDT Althea,Female,DEN,Denmark,Handball,1996-09-01,True
Bronze ,TRANBORG Mette,Female,DEN,Denmark,Handball,1996-01-01,True
Bronze ,JOERGENSEN Kristina,Female,DEN,Denmark,Handball,1998-01-17,True
Bronze ,OESTERGAARD Trine,Female,DEN,Denmark,Handball,1991-10-17,True
Bronze ,VINTER BURGAARD Louise,Female,DEN,Denmark,Handball,1992-10-17,True
Bronze ,HOEJLUND Mie,Female,DEN,Denmark,Handball,1997-10-24,True
Bronze ,FRIIS Emma,Female,DEN,Denmark,Handball,1999-10-31,True
Bronze ,IVERSEN Rikke,Female,DEN,Denmark,Handball,1993-05-18,True
Bronze ,MOELLER Michala,Female,DEN,Denmark,Handball,2000-02-16,True
Gold ,CHEN Meng,Female,CHN,China,Table Tennis,1994-01-15,True
Gold ,SUN Yingsha,Female,CHN,China,Table Tennis,2000-11-04,True
Gold ,WANG Manyu,Female,CHN,China,Table Tennis,1999-02-09,True
Silver ,HAYATA Hina,Female,JPN,Japan,Table Tennis,2000-07-07,True
Silver ,HARIMOTO Miwa,Female,JPN,Japan,Table Tennis,2008-06-16,True
Silver ,HIRANO Miu,Female,JPN,Japan,Table Tennis,2000-04-14,True
Bronze ,SHIN Yubin,Female,KOR,Korea,Table Tennis,2004-07-05,True
Bronze ,JEON Jihee,Female,KOR,Korea,Table Tennis,1992-10-28,True
Bronze ,LEE Eunhye,Female,KOR,Korea,Table Tennis,1995-05-02,True
Gold ,GREBENNIKOV Jenia,Male,FRA,France,Volleyball,1990-08-13,True
Gold ,CHINENYEZE Barthelemy,Male,FRA,France,Volleyball,1998-02-28,True
Gold ,JOUFFROY Quentin,Male,FRA,France,Volleyball,1993-07-05,True
Gold ,le GOFF Nicolas,Male,FRA,France,Volleyball,1992-02-15,True
Gold ,FAURE Theo,Male,FRA,France,Volleyball,1999-10-12,True
Gold ,PATRY Jean,Male,FRA,France,Volleyball,1996-12-27,True
Gold ,BRIZARD Antoine,Male,FRA,France,Volleyball,1994-05-22,True
Gold ,TONIUTTI Benjamin,Male,FRA,France,Volleyball,1989-10-30,True
Gold ,CLEVENOT Trevor,Male,FRA,France,Volleyball,1994-06-28,True
Gold ,LOUATI Yacine,Male,FRA,France,Volleyball,1992-03-04,True
Gold ,NGAPETH Earvin,Male,FRA,France,Volleyball,1991-02-12,True
Gold ,TILLIE Kevin,Male,FRA,France,Volleyball,1990-11-02,True
Gold ,CARLE Timothee,Male,FRA,France,Volleyball,1995-11-30,False
Silver ,KACZMAREK Lukasz,Male,POL,Poland,Volleyball,1994-06-29,True
Silver ,KUREK Bartosz,Male,POL,Poland,Volleyball,1988-08-29,True
Silver ,LEON VENERO Wilfredo,Male,POL,Poland,Volleyball,1993-07-31,True
Silver ,SLIWKA Aleksander,Male,POL,Poland,Volleyball,1995-05-24,True
Silver ,LOMACZ Grzegorz,Male,POL,Poland,Volleyball,1987-10-01,True
Silver ,KOCHANOWSKI Jakub,Male,POL,Poland,Volleyball,1997-07-17,True
Silver ,SEMENIUK Kamil,Male,POL,Poland,Volleyball,1996-07-16,True
Silver ,ZATORSKI Pawel,Male,POL,Poland,Volleyball,1990-06-21,True
Silver ,JANUSZ Marcin,Male,POL,Poland,Volleyball,1994-07-31,True
Silver ,BIENIEK Mateusz,Male,POL,Poland,Volleyball,1994-04-05,True
Silver ,FORNAL Tomasz,Male,POL,Poland,Volleyball,1997-08-31,True
Silver ,HUBER Norbert,Male,POL,Poland,Volleyball,1998-08-14,True
Silver ,BOLADZ Bartlomiej,Male,POL,Poland,Volleyball,1994-09-28,True
Bronze ,DUARTE ALECRIM Diana,Female,BRA,Brazil,Volleyball,1999-02-22,True
Bronze ,ALEXANDRE COSTA NUNES Nyeme Victor,Female,BRA,Brazil,Volleyball,1998-10-11,True
Bronze ,SILVA CARNEIRO Macris Fernanda,Female,BRA,Brazil,Volleyball,1989-03-03,True
Bronze ,DAHER de MENEZES Thaisa,Female,BRA,Brazil,Volleyball,1987-05-15,True
Bronze ,MONTIBELLER Rosamaria,Female,BRA,Brazil,Volleyball,1994-04-09,True
Bronze ,RATZKE Roberta Silva,Female,BRA,Brazil,Volleyball,1990-04-28,True
Bronze ,BRAGA GUIMARAES Gabriela,Female,BRA,Brazil,Volleyball,1994-05-19,True
Bronze ,MENEZES OLIVEIRA de SOUZA Ana Cris,Female,BRA,Brazil,Volleyball,2004-04-07,True
Bronze ,da SILVA Ana Carolina,Female,BRA,Brazil,Volleyball,1991-04-08,True
Bronze ,BERGMANN Julia Isabelle,Female,BRA,Brazil,Volleyball,2001-02-21,True
Bronze ,LEMES SANTOS Tainara,Female,BRA,Brazil,Volleyball,2000-03-09,True
Bronze ,GERALDO TEIXEIRA Lorenne,Female,BRA,Brazil,Volleyball,1996-01-08,True
Bronze ,ARAUJO Natalia,Female,BRA,Brazil,Volleyball,1997-04-10,True
Gold ,ESTER RAMOS Laura,Female,ESP,Spain,Water Polo,1990-01-22,True
Gold ,PIRALKOVA COELLO Isabel,Female,ESP,Spain,Water Polo,2005-06-23,True
Gold ,ESPAR LLAQUET Anni,Female,ESP,Spain,Water Polo,1993-01-08,True
Gold ,ORTIZ Bea,Female,ESP,Spain,Water Polo,1995-06-21,True
Gold ,PEREZ VIVAS Nona,Female,ESP,Spain,Water Polo,2003-04-10,True
Gold ,CRESPI BARRIGA Paula,Female,ESP,Spain,Water Polo,1998-04-07,True
Gold ,RUIZ BARRIL Elena,Female,ESP,Spain,Water Polo,2004-10-29,True
Gold ,PENA Pili,Female,ESP,Spain,Water Polo,1986-04-04,True
Gold ,FORCA ARIZA Judith,Female,ESP,Spain,Water Polo,1996-06-07,True
Gold ,CAMUS Paula,Female,ESP,Spain,Water Polo,2002-02-12,True
Gold ,GARCIA GODOY Maica,Female,ESP,Spain,Water Polo,1990-10-17,True
Gold ,LEITON ARRONES Paula,Female,ESP,Spain,Water Polo,2000-04-27,True
Gold ,TERRE Martina,Female,ESP,Spain,Water Polo,2002-08-28,True
Silver ,PALM Gabriella,Female,AUS,Australia,Water Polo,1998-05-20,True
Silver ,GOFERS Keesja,Female,AUS,Australia,Water Polo,1990-03-16,True
Silver ,ARMIT Elle,Female,AUS,Australia,Water Polo,1991-08-20,True
Silver ,HALLIGAN Bronte,Female,AUS,Australia,Water Polo,1996-08-12,True
Silver ,GREEN Sienna,Female,AUS,Australia,Water Polo,2004-11-01,True
Silver ,ANDREWS Abby,Female,AUS,Australia,Water Polo,2000-11-28,True
Silver ,ANDREWS Charlize,Female,AUS,Australia,Water Polo,2001-12-26,True
Silver ,HEARN Sienna,Female,AUS,Australia,Water Polo,2002-07-16,True
Silver ,ARANCINI Zoe,Female,AUS,Australia,Water Polo,1991-07-14,True
Silver ,WILLIAMS Alice,Female,AUS,Australia,Water Polo,1998-12-24,True
Silver ,KEARNS Tilly,Female,AUS,Australia,Water Polo,2000-10-02,True
Silver ,JACKOVICH Danijela,Female,AUS,Australia,Water Polo,1994-11-04,True
Silver ,LONGMAN Genevieve,Female,AUS,Australia,Water Polo,1995-10-02,True
Bronze ,AARTS Laura,Female,NED,Netherlands,Water Polo,1996-08-10,True
Bronze ,WOLVES Iris,Female,NED,Netherlands,Water Polo,1994-05-09,True
Bronze ,SLEEKING Brigitte,Female,NED,Netherlands,Water Polo,1998-03-19,True
Bronze ,van der SLOOT Sabrina,Female,NED,Netherlands,Water Polo,1991-03-16,True
Bronze ,KEUNING Maartje,Female,NED,Netherlands,Water Polo,1998-04-26,True
Bronze ,van de KRAATS Simone,Female,NED,Netherlands,Water Polo,2000-11-15,True
Bronze ,ROGGE Bente,Female,NED,Netherlands,Water Polo,1997-10-02,True
Bronze ,SEVENICH Vivian,Female,NED,Netherlands,Water Polo,1993-02-28,True
Bronze ,JOUSTRA Kittylynn,Female,NED,Netherlands,Water Polo,1998-01-11,True
Bronze ,ROGGE Lieke,Female,NED,Netherlands,Water Polo,2000-11-30,True
Bronze ,MOOLHUIJZEN Lola,Female,NED,Netherlands,Water Polo,2004-08-17,True
Bronze ,TEN BROEK Nina,Female,NED,Netherlands,Water Polo,2001-07-04,True
Bronze ,BUIS Sarah,Female,NED,Netherlands,Water Polo,2000-03-20,True
Gold ,LOYD Jewell,Female,USA,United States,Basketball,1993-10-05,True
Gold ,PLUM Kelsey,Female,USA,United States,Basketball,1994-08-24,True
Gold ,IONESCU Sabrina,Female,USA,United States,Basketball,1997-12-06,True
Gold ,COPPER Kahleah,Female,USA,United States,Basketball,1994-08-28,True
Gold ,GRAY Chelsea,Female,USA,United States,Basketball,1992-10-08,True
Gold ,WILSON A'ja,Female,USA,United States,Basketball,1996-08-08,True
Gold ,STEWART Breanna,Female,USA,United States,Basketball,1994-08-27,True
Gold ,COLLIER Napheesa,Female,USA,United States,Basketball,1996-09-23,True
Gold ,TAURASI Diana,Female,USA,United States,Basketball,1982-06-11,True
Gold ,YOUNG Jackie,Female,USA,United States,Basketball,1997-09-16,True
Gold ,THOMAS Alyssa,Female,USA,United States,Basketball,1992-04-12,True
Gold ,GRINER Brittney,Female,USA,United States,Basketball,1990-10-18,True
Silver ,FAUTHOUX Marine,Female,FRA,France,Basketball,2001-01-23,True
Silver ,CHERY Alexia,Female,FRA,France,Basketball,1998-09-05,True
Silver ,MICHEL BOURY Sarah,Female,FRA,France,Basketball,1989-01-10,True
Silver ,AYAYI Valeriane,Female,FRA,France,Basketball,1994-04-29,True
Silver ,RUPERT Iliana,Female,FRA,France,Basketball,2001-07-12,True
Silver ,SALAUN Janelle,Female,FRA,France,Basketball,2001-09-05,True
Silver ,MALONGA Dominique,Female,FRA,France,Basketball,2005-11-16,True
Silver ,WILLIAMS Gabby,Female,FRA,France,Basketball,1996-09-09,True
Silver ,BADIANE Marieme,Female,FRA,France,Basketball,1994-11-24,True
Silver ,JOHANNES Marine,Female,FRA,France,Basketball,1995-01-21,True
Silver ,LACAN Leila,Female,FRA,France,Basketball,2004-06-02,True
Silver ,BERNIES Romane,Female,FRA,France,Basketball,1993-06-27,True
Bronze ,MELBOURNE Jade,Female,AUS,Australia,Basketball,2002-08-18,True
Bronze ,WALLACE Kristy,Female,AUS,Australia,Basketball,1996-01-03,True
Bronze ,TALBOT Steph,Female,AUS,Australia,Basketball,1994-06-15,True
Bronze ,MADGEN Tess,Female,AUS,Australia,Basketball,1990-08-12,True
Bronze ,SMITH Alanna,Female,AUS,Australia,Basketball,1996-09-10,True
Bronze ,MAGBEGOR Ezi,Female,AUS,Australia,Basketball,1999-08-13,True
Bronze ,TOLO Marianna,Female,AUS,Australia,Basketball,1989-07-02,True
Bronze ,GEORGE Cayla,Female,AUS,Australia,Basketball,1989-05-01,True
Bronze ,ATWELL Amy,Female,AUS,Australia,Basketball,1998-06-30,True
Bronze ,BORLASE Isobel,Female,AUS,Australia,Basketball,2004-09-12,True
Bronze ,JACKSON Lauren,Female,AUS,Australia,Basketball,1981-05-11,True
Bronze ,WHITCOMB Sami,Female,AUS,Australia,Basketball,1988-07-20,True
Gold ,JACOBSEN Niklas Landin,Male,DEN,Denmark,Handball,1988-12-19,True
Gold ,KIRKELOEKKE Niclas,Male,DEN,Denmark,Handball,1994-03-26,True
Gold ,JACOBSEN Magnus Landin,Male,DEN,Denmark,Handball,1995-08-20,True
Gold ,JAKOBSEN Emil,Male,DEN,Denmark,Handball,1998-01-24,True
Gold ,LAUGE Rasmus,Male,DEN,Denmark,Handball,1991-06-20,True
Gold ,NIELSEN Emil,Male,DEN,Denmark,Handball,1997-03-10,True
Gold ,SAUGSTRUP Magnus,Male,DEN,Denmark,Handball,1996-07-12,True
Gold ,LINDBERG Hans,Male,DEN,Denmark,Handball,1981-08-01,True
Gold ,GIDSEL Mathias,Male,DEN,Denmark,Handball,1999-02-08,True
Gold ,MOELLGAARD Henrik,Male,DEN,Denmark,Handball,1985-01-02,True
Gold ,HANSEN Mikkel,Male,DEN,Denmark,Handball,1987-10-22,True
Gold ,JOERGENSEN Lukas,Male,DEN,Denmark,Handball,1999-03-31,True
Gold ,ANDERSSON Lasse,Male,DEN,Denmark,Handball,1994-03-11,True
Gold ,HALD Simon,Male,DEN,Denmark,Handball,1994-09-28,True
Gold ,ARNOLDSEN Thomas,Male,DEN,Denmark,Handball,2002-01-11,True
Gold ,PYTLICK Simon,Male,DEN,Denmark,Handball,2000-12-11,True
Silver ,SPAETH David,Male,GER,Germany,Handball,2002-04-29,True
Silver ,GOLLA Johannes,Male,GER,Germany,Handball,1997-11-05,True
Silver ,WITZKE Luca,Male,GER,Germany,Handball,1999-04-03,True
Silver ,HEYMANN Sebastian,Male,GER,Germany,Handball,1998-03-01,True
Silver ,FISCHER Justus,Male,GER,Germany,Handball,2003-02-06,True
Silver ,KNORR Juri,Male,GER,Germany,Handball,2000-05-09,True
Silver ,KOESTER Julian,Male,GER,Germany,Handball,2000-03-16,True
Silver ,USCINS Renars,Male,GER,Germany,Handball,2002-04-29,True
Silver ,HAEFNER Kai,Male,GER,Germany,Handball,1989-07-10,True
Silver ,HORNKE Tim,Male,GER,Germany,Handball,1990-08-04,True
Silver ,WOLFF Andreas,Male,GER,Germany,Handball,1991-03-03,True
Silver ,DAHMKE Rune,Male,GER,Germany,Handball,1993-04-10,True
Silver ,MERTENS Lukas,Male,GER,Germany,Handball,1996-03-22,True
Silver ,STEINERT Christoph,Male,GER,Germany,Handball,1990-01-18,True
Silver ,GRGIC Marko,Male,GER,Germany,Handball,2003-09-11,True
Silver ,KOHLBACHER Jannik,Male,GER,Germany,Handball,1995-07-19,True
Bronze ,PEREZ de VARGAS Gonzalo,Male,ESP,Spain,Handball,1991-01-10,True
Bronze ,MAQUEDA Jorge,Male,ESP,Spain,Handball,1988-02-06,True
Bronze ,DUJSHEBAEV Alex,Male,ESP,Spain,Handball,1992-12-17,True
Bronze ,CORRALES Rodrigo,Male,ESP,Spain,Handball,1991-01-24,True
Bronze ,FIGUERAS Adrian,Male,ESP,Spain,Handball,1988-08-31,True
Bronze ,GARCIANDIA Imanol,Male,ESP,Spain,Handball,1995-04-30,True
Bronze ,SERDIO Abel,Male,ESP,Spain,Handball,1994-04-16,True
Bronze ,CASADO Agustin,Male,ESP,Spain,Handball,1996-05-21,True
Bronze ,GOMEZ Aleix,Male,ESP,Spain,Handball,1997-05-07,True
Bronze ,TARRAFETA Ian,Male,ESP,Spain,Handball,1999-01-04,True
Bronze ,SANCHEZ-MIGALLON Miguel,Male,ESP,Spain,Handball,1995-02-08,True
Bronze ,DUJSHEBAEV Daniel,Male,ESP,Spain,Handball,1997-07-04,True
Bronze ,ODRIOZOLA Kauldi,Male,ESP,Spain,Handball,1997-01-07,True
Bronze ,FERNANDEZ Daniel,Male,ESP,Spain,Handball,2001-03-28,True
Bronze ,RODRIGUEZ Javier,Male,ESP,Spain,Handball,2002-07-22,True
Gold ,CAMBI Carlotta,Female,ITA,Italy,Volleyball,1996-05-28,True
Gold ,de GENNARO Monica,Female,ITA,Italy,Volleyball,1987-01-08,True
Gold ,ORRO Alessia,Female,ITA,Italy,Volleyball,1998-07-18,True
Gold ,BOSETTI Caterina Chiara,Female,ITA,Italy,Volleyball,1994-02-02,True
Gold ,DANESI Anna,Female,ITA,Italy,Volleyball,1996-04-20,True
Gold ,SYLLA Myriam Fatime,Female,ITA,Italy,Volleyball,1995-01-08,True
Gold ,EGONU Paola Ogechi,Female,ITA,Italy,Volleyball,1998-12-18,True
Gold ,FAHR Sarah Luisa,Female,ITA,Italy,Volleyball,2001-09-12,True
Gold ,ANTROPOVA Ekaterina,Female,ITA,Italy,Volleyball,2003-03-19,True
Gold ,GIOVANNINI Gaia,Female,ITA,Italy,Volleyball,2001-12-17,True
Gold ,SPIRITO Ilaria,Female,ITA,Italy,Volleyball,1994-02-20,True
Gold ,LUBIAN Marina,Female,ITA,Italy,Volleyball,2000-04-11,True
Gold ,OMORUYI Oghosasere Loveth,Female,ITA,Italy,Volleyball,2002-08-25,True
Silver ,SKINNER Avery,Female,USA,United States,Volleyball,1999-04-25,True
Silver ,RETTKE Dana,Female,USA,United States,Volleyball,1999-01-21,True
Silver ,ROBINSON Kelsey,Female,USA,United States,Volleyball,1992-06-25,True
Silver ,THOMPSON Jordan,Female,USA,United States,Volleyball,1997-05-05,True
Silver ,WASHINGTON Haleigh,Female,USA,United States,Volleyball,1995-09-22,True
Silver ,WONG-ORANTES Justine,Female,USA,United States,Volleyball,1995-10-06,True
Silver ,POULTER Jordyn,Female,USA,United States,Volleyball,1997-07-31,True
Silver ,CARLINI Lauren,Female,USA,United States,Volleyball,1995-02-28,True
Silver ,LARSON Jordan,Female,USA,United States,Volleyball,1986-10-16,True
Silver ,DREWS Andrea,Female,USA,United States,Volleyball,1993-12-25,True
Silver ,PLUMMER Kathryn,Female,USA,United States,Volleyball,1998-10-16,True
Silver ,OGBOGU Chiaka,Female,USA,United States,Volleyball,1995-04-15,True
Silver ,HANCOCK Micha,Female,USA,United States,Volleyball,1992-11-10,True
Gold ,FILIPOVIC Radoslav,Male,SRB,Serbia,Water Polo,1997-08-19,True
Gold ,MANDIC Dusan,Male,SRB,Serbia,Water Polo,1994-06-16,True
Gold ,RASOVIC Strahinja,Male,SRB,Serbia,Water Polo,1992-03-09,True
Gold ,RANDELOVIC Sava,Male,SRB,Serbia,Water Polo,1993-07-17,True
Gold ,CUK Milos,Male,SRB,Serbia,Water Polo,1990-12-21,True
Gold ,DEDOVIC Nikola,Male,SRB,Serbia,Water Polo,1992-01-25,True
Gold ,DRASOVIC Radomir,Male,SRB,Serbia,Water Polo,1997-07-22,True
Gold ,JAKSIC Nikola,Male,SRB,Serbia,Water Polo,1997-01-17,True
Gold ,VICO Nemanja,Male,SRB,Serbia,Water Polo,1994-11-19,True
Gold ,UBOVIC Nemanja,Male,SRB,Serbia,Water Polo,1991-02-24,True
Gold ,RASOVIC Viktor,Male,SRB,Serbia,Water Polo,1993-08-13,True
Gold ,JAKSIC Petar,Male,SRB,Serbia,Water Polo,2001-07-20,True
Gold ,MISOVIC Vladimir,Male,SRB,Serbia,Water Polo,2001-09-15,True
Silver ,BIJAC Marko,Male,CRO,Croatia,Water Polo,1991-01-12,True
Silver ,BURIC Rino,Male,CRO,Croatia,Water Polo,1997-04-05,True
Silver ,FATOVIC Loren,Male,CRO,Croatia,Water Polo,1996-11-16,True
Silver ,LONCAR Luka,Male,CRO,Croatia,Water Polo,1987-06-26,True
Silver ,JOKOVIC Maro,Male,CRO,Croatia,Water Polo,1987-10-01,True
Silver ,BUKIC Luka,Male,CRO,Croatia,Water Polo,1994-04-30,True
Silver ,VUKICEVIC Ante,Male,CRO,Croatia,Water Polo,1993-02-24,True
Silver ,ZUVELA Marko,Male,CRO,Croatia,Water Polo,2001-12-22,True
Silver ,MARINIC KRAGIC Jerko,Male,CRO,Croatia,Water Polo,1991-01-24,True
Silver ,VRLIC Josi,Male,CRO,Croatia,Water Polo,1986-04-25,True
Silver ,BILJAKA Matias,Male,CRO,Croatia,Water Polo,1999-01-20,True
Silver ,KHARKOV Konstantin,Male,CRO,Croatia,Water Polo,1997-02-23,True
Silver ,POPADIC Toni,Male,CRO,Croatia,Water Polo,1994-11-05,True
Bronze ,WEINBERG Adrian,Male,USA,United States,Water Polo,2001-11-25,True
Bronze ,HOOPER Johnny,Male,USA,United States,Water Polo,1997-06-24,True
Bronze ,VAVIC Marko,Male,USA,United States,Water Polo,1999-04-25,True
Bronze ,OBERT Alex,Male,USA,United States,Water Polo,1991-12-18,True
Bronze ,DAUBE Hannes,Male,USA,United States,Water Polo,2000-01-05,True
Bronze ,CUPIDO Luca,Male,USA,United States,Water Polo,1995-11-09,True
Bronze ,HALLOCK Ben,Male,USA,United States,Water Polo,1997-11-22,True
Bronze ,WOODHEAD Dylan,Male,USA,United States,Water Polo,1998-09-25,True
Bronze ,BOWEN Alex,Male,USA,United States,Water Polo,1993-09-04,True
Bronze ,DODD Chase William,Male,USA,United States,Water Polo,2003-04-05,True
Bronze ,DODD Ryder,Male,USA,United States,Water Polo,2006-01-19,True
Bronze ,IRVING Max,Male,USA,United States,Water Polo,1995-05-21,True
Bronze ,HOLLAND Drew,Male,USA,United States,Water Polo,1995-04-11,True
Gold ,DING Xinyi,Female,CHN,China,Rhythmic Gymnastics,2004-08-27,True
Gold ,GUO Qiqi,Female,CHN,China,Rhythmic Gymnastics,1998-08-07,True
Gold ,HAO Ting,Female,CHN,China,Rhythmic Gymnastics,2001-03-23,True
Gold ,HUANG Zhangjiayang,Female,CHN,China,Rhythmic Gymnastics,2000-02-15,True
Gold ,WANG Lanjing,Female,CHN,China,Rhythmic Gymnastics,2005-03-10,True
Silver ,BAKANOV Shani,Female,ISR,Israel,Rhythmic Gymnastics,2006-02-27,True
Silver ,FRIEDMANN Adar,Female,ISR,Israel,Rhythmic Gymnastics,2006-07-18,True
Silver ,PARITZKI Romi,Female,ISR,Israel,Rhythmic Gymnastics,2004-06-17,True
Silver ,SHAHAM Ofir,Female,ISR,Israel,Rhythmic Gymnastics,2004-11-23,True
Silver ,SVERTSOV Diana,Female,ISR,Israel,Rhythmic Gymnastics,2004-11-15,True
Bronze ,CENTOFANTI Martina,Female,ITA,Italy,Rhythmic Gymnastics,1998-05-19,True
Bronze ,DURANTI Agnese,Female,ITA,Italy,Rhythmic Gymnastics,2000-12-18,True
Bronze ,MAURELLI Alessia,Female,ITA,Italy,Rhythmic Gymnastics,1996-08-22,True
Bronze ,MOGUREAN Daniela,Female,ITA,Italy,Rhythmic Gymnastics,2001-07-16,True
Bronze ,PARIS Laura,Female,ITA,Italy,Rhythmic Gymnastics,2002-09-07,True
